UID        PID  PPID  C STIME TTY          TIME CMD
root       178     2  0 Aug10 ?        00:00:00 [kworker/27:0H-k]
root       179     2  0 Aug10 ?        00:00:00 [cpuhp/28]
root       180     2  0 Aug10 ?        00:00:00 [idle_inject/28]
root       181     2  0 Aug10 ?        00:00:25 [migration/28]
root       182     2  0 Aug10 ?        00:00:19 [ksoftirqd/28]
root       184     2  0 Aug10 ?        00:00:00 [kworker/28:0H-k]
root       185     2  0 Aug10 ?        00:00:00 [cpuhp/29]
root       186     2  0 Aug10 ?        00:00:00 [idle_inject/29]
root       187     2  0 Aug10 ?        00:00:25 [migration/29]
root       188     2  0 Aug10 ?        00:00:19 [ksoftirqd/29]
root       190     2  0 Aug10 ?        00:00:00 [kworker/29:0H-k]
root       191     2  0 Aug10 ?        00:00:00 [cpuhp/30]
root       192     2  0 Aug10 ?        00:00:00 [idle_inject/30]
root       193     2  0 Aug10 ?        00:00:25 [migration/30]
root       194     2  0 Aug10 ?        00:00:18 [ksoftirqd/30]
root       196     2  0 Aug10 ?        00:00:00 [kworker/30:0H-k]
root       197     2  0 Aug10 ?        00:00:00 [cpuhp/31]
root       198     2  0 Aug10 ?        00:00:00 [idle_inject/31]
root       199     2  0 Aug10 ?        00:00:26 [migration/31]
root       200     2  0 Aug10 ?        00:00:21 [ksoftirqd/31]
root       202     2  0 Aug10 ?        00:00:00 [kworker/31:0H]
root       203     2  0 Aug10 ?        00:00:00 [cpuhp/32]
root       204     2  0 Aug10 ?        00:00:00 [idle_inject/32]
root       205     2  0 Aug10 ?        00:00:25 [migration/32]
root       206     2  0 Aug10 ?        00:00:21 [ksoftirqd/32]
root       208     2  0 Aug10 ?        00:00:00 [kworker/32:0H]
root       209     2  0 Aug10 ?        00:00:00 [cpuhp/33]
root       210     2  0 Aug10 ?        00:00:00 [idle_inject/33]
root       211     2  0 Aug10 ?        00:00:26 [migration/33]
root       212     2  0 Aug10 ?        00:00:19 [ksoftirqd/33]
root       214     2  0 Aug10 ?        00:00:00 [kworker/33:0H-k]
root       215     2  0 Aug10 ?        00:00:00 [cpuhp/34]
root       216     2  0 Aug10 ?        00:00:00 [idle_inject/34]
root       217     2  0 Aug10 ?        00:00:25 [migration/34]
root       218     2  0 Aug10 ?        00:00:20 [ksoftirqd/34]
root       220     2  0 Aug10 ?        00:00:00 [kworker/34:0H-k]
root       221     2  0 Aug10 ?        00:00:00 [cpuhp/35]
root       222     2  0 Aug10 ?        00:00:00 [idle_inject/35]
root       223     2  0 Aug10 ?        00:00:25 [migration/35]
root       224     2  0 Aug10 ?        00:00:19 [ksoftirqd/35]
root       226     2  0 Aug10 ?        00:00:00 [kworker/35:0H-k]
root       227     2  0 Aug10 ?        00:00:00 [cpuhp/36]
root       228     2  0 Aug10 ?        00:00:00 [idle_inject/36]
root       229     2  0 Aug10 ?        00:00:24 [migration/36]
root       230     2  0 Aug10 ?        00:00:18 [ksoftirqd/36]
root       232     2  0 Aug10 ?        00:00:00 [kworker/36:0H-k]
root       233     2  0 Aug10 ?        00:00:00 [cpuhp/37]
root       234     2  0 Aug10 ?        00:00:00 [idle_inject/37]
root       235     2  0 Aug10 ?        00:00:24 [migration/37]
root       236     2  0 Aug10 ?        00:00:17 [ksoftirqd/37]
root       238     2  0 Aug10 ?        00:00:00 [kworker/37:0H-k]
root       239     2  0 Aug10 ?        00:00:00 [cpuhp/38]
root       240     2  0 Aug10 ?        00:00:00 [idle_inject/38]
root       241     2  0 Aug10 ?        00:00:27 [migration/38]
root       242     2  0 Aug10 ?        00:00:27 [ksoftirqd/38]
root       244     2  0 Aug10 ?        00:00:00 [kworker/38:0H-k]
root       245     2  0 Aug10 ?        00:00:00 [cpuhp/39]
root       246     2  0 Aug10 ?        00:00:00 [idle_inject/39]
root       247     2  0 Aug10 ?        00:00:25 [migration/39]
root       248     2  0 Aug10 ?        00:00:17 [ksoftirqd/39]
root       250     2  0 Aug10 ?        00:00:00 [kworker/39:0H-k]
root       251     2  0 Aug10 ?        00:00:00 [cpuhp/40]
root       252     2  0 Aug10 ?        00:00:00 [idle_inject/40]
root       253     2  0 Aug10 ?        00:00:24 [migration/40]
root       254     2  0 Aug10 ?        00:00:17 [ksoftirqd/40]
root       256     2  0 Aug10 ?        00:00:00 [kworker/40:0H-k]
root       257     2  0 Aug10 ?        00:00:00 [cpuhp/41]
root       258     2  0 Aug10 ?        00:00:00 [idle_inject/41]
root       259     2  0 Aug10 ?        00:00:25 [migration/41]
root       260     2  0 Aug10 ?        00:00:19 [ksoftirqd/41]
root       262     2  0 Aug10 ?        00:00:00 [kworker/41:0H-k]
root       263     2  0 Aug10 ?        00:00:00 [cpuhp/42]
root       264     2  0 Aug10 ?        00:00:00 [idle_inject/42]
root       265     2  0 Aug10 ?        00:00:24 [migration/42]
root       266     2  0 Aug10 ?        00:00:17 [ksoftirqd/42]
root       268     2  0 Aug10 ?        00:00:00 [kworker/42:0H-k]
root       269     2  0 Aug10 ?        00:00:00 [cpuhp/43]
root       270     2  0 Aug10 ?        00:00:00 [idle_inject/43]
root       271     2  0 Aug10 ?        00:00:24 [migration/43]
root       272     2  0 Aug10 ?        00:00:18 [ksoftirqd/43]
root       274     2  0 Aug10 ?        00:00:00 [kworker/43:0H-k]
root       275     2  0 Aug10 ?        00:00:00 [cpuhp/44]
root       276     2  0 Aug10 ?        00:00:00 [idle_inject/44]
root       277     2  0 Aug10 ?        00:00:24 [migration/44]
root       278     2  0 Aug10 ?        00:00:17 [ksoftirqd/44]
root       280     2  0 Aug10 ?        00:00:00 [kworker/44:0H-k]
root       281     2  0 Aug10 ?        00:00:00 [cpuhp/45]
root       282     2  0 Aug10 ?        00:00:00 [idle_inject/45]
root       283     2  0 Aug10 ?        00:00:24 [migration/45]
root       284     2  0 Aug10 ?        00:00:17 [ksoftirqd/45]
root       286     2  0 Aug10 ?        00:00:00 [kworker/45:0H]
root       287     2  0 Aug10 ?        00:00:00 [cpuhp/46]
root       288     2  0 Aug10 ?        00:00:00 [idle_inject/46]
root       289     2  0 Aug10 ?        00:00:24 [migration/46]
root       290     2  0 Aug10 ?        00:00:17 [ksoftirqd/46]
root       292     2  0 Aug10 ?        00:00:00 [kworker/46:0H]
root       293     2  0 Aug10 ?        00:00:00 [cpuhp/47]
root       294     2  0 Aug10 ?        00:00:00 [idle_inject/47]
root       295     2  0 Aug10 ?        00:00:25 [migration/47]
root       296     2  0 Aug10 ?        00:00:18 [ksoftirqd/47]
root       298     2  0 Aug10 ?        00:00:00 [kworker/47:0H]
root       299     2  0 Aug10 ?        00:00:00 [cpuhp/48]
root       300     2  0 Aug10 ?        00:00:00 [idle_inject/48]
root       301     2  0 Aug10 ?        00:00:28 [migration/48]
